OrderID,OrderDate,PromisedDate,DeliveryDate,ProductID,Category,SupplierID,Warehouse,Customer,OrderedQty,DeliveredQty,UnitCost,SellingPrice,Revenue,COGS,InventoryValue,ForecastQty,OnTimeFlag,InFullFlag
ORD1,2023-12-04,2023-12-07,2023-12-10,P1010,Personal Care,S101,Sharjah DC,Lulu,347,338,41.32,69.63,23534.94,13966.16,16488.39,342,0,0
ORD2,2024-04-11,2024-04-14,2024-04-17,P1021,Electronics,S104,Sharjah DC,Noon,467,457,33.56,53.26,24339.82,15336.92,4523.4,438,0,0
ORD3,2024-01-21,2024-01-28,2024-01-31,P1046,Personal Care,S110,Abu Dhabi Hub,Noon,97,77,44.26,59.71,4597.67,3408.02,11381.6,101,0,0
ORD4,2023-08-08,2023-08-13,2023-08-12,P1049,Food,S103,Dubai Central,Spinneys,111,104,12.34,19.01,1977.04,1283.36,16725.28,133,1,0
ORD5,2024-02-12,2024-02-20,2024-02-22,P1014,Personal Care,S109,Abu Dhabi Hub,Carrefour,156,151,26.15,35.29,5328.79,3948.65,19355.82,182,0,0
ORD6,2023-07-18,2023-07-24,2023-07-23,P1034,Personal Care,S103,Abu Dhabi Hub,Carrefour,136,126,47.05,80.36,10125.36,5928.3,5197.26,134,1,0
ORD7,2023-01-01,2023-01-05,2023-01-07,P1013,Electronics,S102,Dubai Central,Lulu,306,286,37.91,61.34,17543.24,10842.26,10691.41,313,0,0
ORD8,2024-07-20,2024-07-30,2024-08-01,P1018,Personal Care,S109,Abu Dhabi Hub,Noon,128,111,44.74,67.27,7466.97,4966.14,12774.72,122,0,0
ORD9,2024-04-01,2024-04-08,2024-04-09,P1022,Electronics,S103,Sharjah DC,Amazon,280,277,44.92,80.45,22284.65,12442.84,12673.86,252,0,0
ORD10,2023-06-13,2023-06-17,2023-06-20,P1039,Food,S101,Sharjah DC,Carrefour,361,348,36.24,45.52,15840.96,12611.52,6927.32,336,0,0
ORD11,2023-01-17,2023-01-25,2023-01-24,P1016,Personal Care,S108,Sharjah DC,Carrefour,490,488,22.04,31.57,15406.16,10755.52,16279.59,520,1,0
ORD12,2023-05-19,2023-05-26,2023-05-27,P1022,Electronics,S110,Sharjah DC,Spinneys,136,124,41.93,54.92,6810.08,5199.32,2757.53,130,0,0
ORD13,2023-12-09,2023-12-12,2023-12-15,P1035,Food,S102,Dubai Central,Noon,104,86,43.09,65.59,5640.74,3705.74,4874.44,120,0,0
ORD14,2024-06-20,2024-06-25,2024-06-23,P1044,Electronics,S106,Sharjah DC,Carrefour,178,175,30.82,44.91,7859.25,5393.5,8124.48,164,1,0
ORD15,2024-01-01,2024-01-04,2024-01-06,P1013,Food,S105,Dubai Central,Lulu,70,62,26.14,45.88,2844.56,1620.68,5772.68,70,0,0
ORD16,2023-03-13,2023-03-23,2023-03-25,P1045,Food,S106,Dubai Central,Amazon,220,216,43.42,65.91,14236.56,9378.72,11677.34,211,0,0
ORD17,2023-12-19,2023-12-28,2023-12-28,P1006,Electronics,S102,Dubai Central,Noon,359,355,36.48,47.82,16976.1,12950.4,9390.08,336,1,0
ORD18,2024-12-31,2025-01-03,2025-01-05,P1007,Electronics,S108,Abu Dhabi Hub,Carrefour,229,227,40.1,54.88,12457.76,9102.7,3438.6,252,0,0
ORD19,2023-01-05,2023-01-11,2023-01-12,P1023,Electronics,S102,Dubai Central,Amazon,66,46,25.35,43.95,2021.7,1166.1,9467.28,72,0,0
ORD20,2023-11-29,2023-12-02,2023-11-30,P1008,Electronics,S106,Abu Dhabi Hub,Noon,487,471,20.64,33.99,16009.29,9721.44,11778.81,488,1,0
ORD21,2024-06-14,2024-06-24,2024-06-25,P1041,Electronics,S105,Sharjah DC,Carrefour,151,149,30.27,41.18,6135.82,4510.23,5908.09,172,0,0
ORD22,2023-05-05,2023-05-11,2023-05-14,P1014,Food,S103,Abu Dhabi Hub,Spinneys,457,437,13.13,23.45,10247.65,5737.81,19756.67,472,0,0
ORD23,2024-09-24,2024-09-30,2024-10-02,P1012,Electronics,S110,Abu Dhabi Hub,Carrefour,387,369,7.25,10.67,3937.23,2675.25,16706.77,397,0,0
ORD24,2023-12-06,2023-12-13,2023-12-12,P1012,Food,S106,Abu Dhabi Hub,Spinneys,208,202,10.35,16.24,3280.48,2090.7,4509.76,187,1,0
ORD25,2024-12-02,2024-12-11,2024-12-09,P1043,Personal Care,S109,Abu Dhabi Hub,Carrefour,307,289,27.25,37.2,10750.8,7875.25,17746.74,305,1,0
ORD26,2023-06-21,2023-07-01,2023-07-01,P1040,Electronics,S110,Abu Dhabi Hub,Carrefour,398,380,6.86,11.17,4244.6,2606.8,1810.73,415,1,0
ORD27,2024-04-21,2024-04-28,2024-04-28,P1015,Food,S106,Sharjah DC,Spinneys,416,400,16.39,26.89,10756.0,6556.0,2319.08,430,1,0
ORD28,2024-09-26,2024-10-05,2024-10-07,P1019,Food,S107,Abu Dhabi Hub,Amazon,58,50,11.59,17.56,878.0,579.5,2044.2,71,0,0
ORD29,2023-07-09,2023-07-14,2023-07-15,P1045,Personal Care,S104,Dubai Central,Spinneys,312,307,25.42,42.0,12894.0,7803.94,11642.31,301,0,0
ORD30,2023-10-25,2023-10-28,2023-10-30,P1032,Personal Care,S109,Dubai Central,Amazon,406,399,37.71,55.23,22036.77,15046.29,8497.07,396,0,0
ORD31,2023-08-21,2023-08-30,2023-08-29,P1016,Electronics,S104,Dubai Central,Spinneys,329,327,12.5,16.39,5359.53,4087.5,11324.36,327,1,0
ORD32,2023-01-28,2023-02-02,2023-02-01,P1007,Electronics,S104,Abu Dhabi Hub,Carrefour,197,192,47.68,71.74,13774.08,9154.56,1509.42,218,1,0
ORD33,2023-09-15,2023-09-19,2023-09-18,P1040,Food,S104,Abu Dhabi Hub,Lulu,279,271,14.1,17.11,4636.81,3821.1,16575.64,262,1,0
ORD34,2023-12-15,2023-12-21,2023-12-21,P1003,Food,S101,Sharjah DC,Carrefour,369,363,13.39,16.57,6014.91,4860.57,18397.59,362,1,0
ORD35,2023-04-13,2023-04-20,2023-04-18,P1004,Personal Care,S106,Sharjah DC,Carrefour,441,423,30.13,45.05,19056.15,12744.99,7758.68,461,1,0
ORD36,2023-01-31,2023-02-09,2023-02-07,P1032,Electronics,S108,Dubai Central,Spinneys,269,261,21.14,30.75,8025.75,5517.54,1377.4,272,1,0
ORD37,2024-09-11,2024-09-16,2024-09-18,P1027,Food,S103,Sharjah DC,Noon,292,291,28.36,44.31,12894.21,8252.76,13986.41,264,0,0
ORD38,2023-05-30,2023-06-03,2023-06-03,P1037,Electronics,S110,Abu Dhabi Hub,Amazon,353,334,15.29,20.91,6983.94,5106.86,4235.34,347,1,0
ORD39,2024-03-07,2024-03-17,2024-03-19,P1004,Food,S106,Abu Dhabi Hub,Noon,121,105,6.37,9.41,988.05,668.85,7235.93,146,0,0
ORD40,2023-11-03,2023-11-08,2023-11-11,P1049,Personal Care,S104,Abu Dhabi Hub,Amazon,308,295,31.47,45.04,13286.8,9283.65,16601.58,281,0,0
ORD41,2023-10-26,2023-11-04,2023-11-03,P1004,Electronics,S107,Abu Dhabi Hub,Lulu,141,132,35.33,58.9,7774.8,4663.56,17649.65,114,1,0
ORD42,2023-09-25,2023-10-02,2023-09-30,P1019,Electronics,S103,Abu Dhabi Hub,Amazon,96,83,39.02,47.22,3919.26,3238.66,5975.5,87,1,0
ORD43,2024-01-15,2024-01-18,2024-01-20,P1012,Food,S105,Dubai Central,Noon,138,120,26.12,41.15,4938.0,3134.4,16491.11,132,0,0
ORD44,2024-10-23,2024-11-02,2024-11-04,P1008,Personal Care,S108,Dubai Central,Spinneys,391,372,46.1,79.09,29421.48,17149.2,14180.92,395,0,0
ORD45,2023-08-03,2023-08-11,2023-08-10,P1029,Electronics,S109,Dubai Central,Lulu,216,197,32.72,46.15,9091.55,6445.84,7352.69,196,1,0
ORD46,2023-05-21,2023-05-24,2023-05-27,P1041,Personal Care,S105,Sharjah DC,Lulu,404,396,6.06,7.55,2989.8,2399.76,14500.51,434,0,0
ORD47,2023-01-03,2023-01-10,2023-01-10,P1036,Electronics,S109,Dubai Central,Noon,477,470,14.83,18.5,8695.0,6970.1,13813.36,449,1,0
ORD48,2023-09-04,2023-09-11,2023-09-09,P1030,Food,S102,Dubai Central,Carrefour,137,124,36.71,54.76,6790.24,4552.04,4628.75,130,1,0
ORD49,2024-02-19,2024-02-24,2024-02-25,P1038,Electronics,S107,Sharjah DC,Lulu,163,160,18.73,30.65,4904.0,2996.8,6763.03,173,0,0
ORD50,2023-05-02,2023-05-08,2023-05-11,P1025,Food,S106,Sharjah DC,Lulu,238,235,26.9,44.11,10365.85,6321.5,4296.71,268,0,0
ORD51,2024-01-27,2024-02-05,2024-02-07,P1048,Electronics,S105,Dubai Central,Lulu,479,461,48.49,85.97,39632.17,22353.89,2605.87,489,0,0
ORD52,2024-09-08,2024-09-15,2024-09-14,P1022,Food,S105,Dubai Central,Noon,119,103,13.38,20.6,2121.8,1378.14,14293.23,111,1,0
